name,affiliation,lettergroup,inferredgender,inferredethnicity,inferredisurm,highered,institution,research,country,role,security,field,simplefield
matthew salomone,bridgewater state university,A Only,man,white,noturm,highered,domesticother,lessri,NA,associate,moresecure,math,mathstat
mary d shepherd,northwest missouri state university,A Only,woman,white,noturm,highered,domesticother,lessri,NA,professor,moresecure,math,mathstat
michelle manes,university of hawaii at manoa,A Only,woman,white,noturm,highered,domesticr1,moreri,NA,associate,moresecure,math,mathstat
chanda prescod weinstein,university of new hampshire,A Only,woman,black,urm,highered,domesticr1,moreri,NA,assistant,lesssecure,other,other
barbara fantechi,sissa,A Only,woman,white,noturm,highered,international,moreri,italy,professor,moresecure,math,mathstat
mikael vejdemo johansson,city university of new york,A Only,man,white,noturm,highered,domesticr1,moreri,NA,assistant,lesssecure,stat,mathstat
max lahn,university of michigan,A Only,man,white,noturm,highered,domesticr1,moreri,NA,grad,lesssecure,math,mathstat
f patricia medina,yeshiva university,A Only,woman,latinx,urm,highered,domesticr2,lessri,NA,assistant,lesssecure,comp,other
benjamin braun,university of kentucky,A Only,man,white,noturm,highered,domesticr1,moreri,NA,associate,moresecure,math,mathstat
diana thomas,united states military academy,A Only,woman,NA,NA,highered,domesticother,lessri,NA,professor,moresecure,math,mathstat
terrence blackman,medgar evers college cuny,A Only,man,black,urm,highered,domesticother,lessri,NA,associate,moresecure,math,mathstat
mark daniel ward,purdue university,A Only,man,white,noturm,highered,domesticr1,moreri,NA,professor,moresecure,stat,mathstat
andrew cooper,university of pennsylvania,A Only,man,white,noturm,highered,domesticr1,moreri,NA,ntt,lesssecure,math,mathstat
susan j sierra,university of edinburgh,A Only,woman,white,noturm,highered,international,moreri,united kingdom,professor,moresecure,math,mathstat
ralph pantozzi,kent place school,A Only,man,white,noturm,nothighered,domesticother,lessri,NA,NA,NA,NA,NA
alison marr,southwestern university,A Only,woman,white,noturm,highered,domesticother,lessri,NA,professor,moresecure,math,mathstat
jessica deshler,west virginia university,A Only,woman,white,noturm,highered,domesticr1,moreri,NA,associate,moresecure,math,mathstat
melanie brown,champlain college,A Only,woman,white,noturm,highered,domesticother,lessri,NA,associate,moresecure,math,mathstat
theron j hitchman,university of northern iowa,A Only,man,white,noturm,highered,domesticother,lessri,NA,associate,moresecure,math,mathstat
oscar vega,california state university fresno,A Only,man,latinx,urm,highered,domesticother,lessri,NA,professor,moresecure,math,mathstat
mariah birgen,wartburg college,A Only,woman,white,noturm,highered,domesticother,lessri,NA,professor,moresecure,math,mathstat
ann clifton,cedar crest college,A Only,woman,white,noturm,highered,domesticother,lessri,NA,ntt,lesssecure,math,mathstat
mitchel t keller,morningside college,A Only,man,white,noturm,highered,domesticother,lessri,NA,assistant,lesssecure,math,mathstat
jason e miller,california state university channel islands,A Only,man,white,noturm,highered,domesticother,lessri,NA,professor,moresecure,math,mathstat
anil venkatesh,adelphi university,A Only,man,asian,noturm,highered,domesticother,lessri,NA,assistant,lesssecure,math,mathstat
ellen goldstein,boston college,A Only,woman,white,noturm,highered,domesticr1,moreri,NA,assistant,lesssecure,math,mathstat
sandra laursen,university of colorado,A Only,woman,white,noturm,highered,domesticr1,moreri,NA,staff,lesssecure,other,other
juanita pinzon caicedo,north carolina state university,A Only,woman,latinx,urm,highered,domesticr1,moreri,NA,ntt,lesssecure,math,mathstat
benjamin gaines,iona college,A Only,man,white,noturm,highered,domesticother,lessri,NA,assistant,lesssecure,math,mathstat
aida alibek,university of illinois at chicago,A Only,woman,asian,noturm,highered,domesticr1,moreri,NA,grad,lesssecure,math,mathstat
sam cook,boston university,A Only,man,white,noturm,highered,domesticr1,moreri,NA,associate,moresecure,mathed,mathed
rann bar on,duke university,A Only,man,white,noturm,highered,domesticr1,moreri,NA,ntt,lesssecure,math,mathstat
casey warmbrand,herberger young scholars academy,A Only,man,white,noturm,nothighered,NA,NA,NA,NA,NA,NA,NA
teri murphy,university of cincinnati,A Only,woman,white,noturm,highered,domesticr1,moreri,NA,professor,moresecure,other,other
jeff graham,susquehanna university,A Only,man,white,noturm,highered,domesticother,lessri,NA,associate,moresecure,math,mathstat
whitney george,university of wisconsin la crosse,A Only,woman,white,noturm,highered,domesticother,lessri,NA,associate,moresecure,math,mathstat
joanna wares,university of richmond,A Only,woman,white,noturm,highered,domesticother,lessri,NA,associate,moresecure,math,mathstat
bahar acu,northwestern university,A Only,woman,middleeast,noturm,highered,domesticr1,moreri,NA,assistant,lesssecure,math,mathstat
katrina piatek jimenez,central michigan university,A Only,woman,NA,NA,highered,domesticr2,lessri,NA,professor,moresecure,mathed,mathed
jennifer bowen,college of wooster,A Only,woman,white,noturm,highered,domesticother,lessri,NA,associate,moresecure,math,mathstat
jill shahverdian,quinnipiac university,A Only,woman,white,noturm,highered,domesticother,lessri,NA,associate,moresecure,math,mathstat
ksenija simic muller,pacific lutheran university,A Only,woman,white,noturm,highered,domesticother,lessri,NA,associate,moresecure,math,mathstat
courtney r gibbons,hamilton college,A Only,woman,white,noturm,highered,domesticother,lessri,NA,associate,moresecure,math,mathstat
david clark,grand valley state university,A Only,man,white,noturm,highered,domesticother,lessri,NA,assistant,lesssecure,math,mathstat
maeve l mccarthy,murray state university,A Only,woman,white,noturm,highered,domesticother,lessri,NA,professor,moresecure,math,mathstat
kyle petersen,depaul university,A Only,man,white,noturm,highered,domesticr2,lessri,NA,professor,moresecure,math,mathstat
yousuf george,nazareth college,A Only,man,NA,NA,highered,domesticother,lessri,NA,associate,moresecure,math,mathstat
quinn a morris,appalachian state university,A Only,man,white,noturm,highered,domesticother,lessri,NA,assistant,lesssecure,math,mathstat
amy ksir,united states naval academy,A Only,woman,white,noturm,highered,domesticother,lessri,NA,professor,moresecure,math,mathstat
priscilla bremser,middlebury college,A Only,woman,white,noturm,highered,domesticother,lessri,NA,professor,moresecure,math,mathstat
melanie pivarski,roosevelt university,A Only,woman,white,noturm,highered,domesticother,lessri,NA,associate,moresecure,math,mathstat
robert davis,colgate university,A Only,man,white,noturm,highered,domesticother,lessri,NA,assistant,lesssecure,math,mathstat
amy wehe,fitchburg state university,A Only,woman,white,noturm,highered,domesticother,lessri,NA,professor,moresecure,math,mathstat
margaret morrow,suny plattsburgh,A Only,woman,white,noturm,highered,domesticother,lessri,NA,associate,moresecure,math,mathstat
mark branson,stevenson university,A Only,man,white,noturm,highered,domesticother,lessri,NA,assistant,lesssecure,math,mathstat
stephanie salomone,university of portland,A Only,woman,white,noturm,highered,domesticother,lessri,NA,associate,moresecure,math,mathstat
gabriel sosa castillo,colgate university,A Only,man,latinx,urm,highered,domesticother,lessri,NA,assistant,lesssecure,math,mathstat
jennifer danae berg,fitchburg state university,A Only,woman,white,noturm,highered,domesticother,lessri,NA,professor,moresecure,math,mathstat
iian smythe,rutgers university,A Only,man,white,noturm,highered,domesticr1,moreri,NA,assistant,lesssecure,math,mathstat
federico ardila,san francisco state university,A Only,man,latinx,urm,highered,domesticother,lessri,NA,professor,moresecure,math,mathstat
erica shannon,pierce college,A Only,woman,white,noturm,highered,domesticother,lessri,NA,associate,moresecure,math,mathstat
susan d'agostino,NA,A Only,woman,white,noturm,nothighered,NA,NA,NA,NA,NA,NA,NA
everett howe,NA,A Only,man,white,noturm,nothighered,NA,NA,NA,NA,NA,NA,NA
carol schumacher,kenyon college,A Only,woman,white,noturm,highered,domesticother,lessri,NA,professor,moresecure,math,mathstat
kathi crow,salem state university,A Only,woman,white,noturm,highered,domesticother,lessri,NA,associate,moresecure,math,mathstat
shelby m scott,university of tennessee,A Only,woman,white,noturm,highered,domesticr1,moreri,NA,grad,lesssecure,other,other
robin t wilson,cal poly pomona,A Only,man,black,urm,highered,domesticother,lessri,NA,professor,moresecure,math,mathstat
anthony bonato,ryerson university,A Only,man,white,noturm,highered,international,moreri,canada,professor,moresecure,math,mathstat
kelly black,university of georgia,A Only,man,white,noturm,highered,domesticr1,moreri,NA,ntt,lesssecure,math,mathstat
dylan poulsen,washington college,A Only,man,white,noturm,highered,domesticother,lessri,NA,assistant,lesssecure,math,mathstat
marissa kawehi loving,georgia institute of technology,A Only,woman,pacific,urm,highered,domesticr1,moreri,NA,ntt,lesssecure,math,mathstat
nina white,university of michigan,A Only,woman,white,noturm,highered,domesticr1,moreri,NA,ntt,lesssecure,mathed,mathed
robert w vallin,lamar university,A Only,man,white,noturm,highered,domesticother,lessri,NA,associate,moresecure,math,mathstat
yemeen ayub,george mason university,A Only,man,middleeast,noturm,highered,domesticr1,moreri,NA,grad,lesssecure,math,mathstat
rebecca rg,george mason university,A Only,woman,white,noturm,highered,domesticr1,moreri,NA,assistant,lesssecure,math,mathstat
ami radunskaya,pomona college,A Only,woman,white,noturm,highered,domesticother,lessri,NA,professor,moresecure,math,mathstat
bruce yoshiwara,los angeles pierce college,A Only,man,asian,noturm,highered,domesticother,lessri,NA,retired,moresecure,math,mathstat
henry adams,colorado state university,A Only,man,white,noturm,highered,domesticr1,moreri,NA,assistant,lesssecure,math,mathstat
jacqueline a hall,longwood university,A Only,woman,NA,NA,highered,domesticother,lessri,NA,retired,moresecure,math,mathstat
therese shelton,southwestern university,A Only,woman,white,noturm,highered,domesticother,lessri,NA,associate,moresecure,math,mathstat
joe moeller,university of california riverside,A Only,man,white,noturm,highered,domesticr1,moreri,NA,grad,lesssecure,math,mathstat
erika roldan,ohio state university,A Only,woman,latinx,urm,highered,domesticr1,moreri,NA,assistant,lesssecure,math,mathstat
diego a robayo bargans,universidad de los andes,A Only,man,latinx,urm,highered,international,moreri,colombia,NA,NA,math,mathstat
david murrugarra,university of kentucky,A Only,man,latinx,urm,highered,domesticr1,moreri,NA,assistant,lesssecure,math,mathstat
amy parrott,university of wisconsin oshkosh,A Only,woman,white,noturm,highered,domesticother,lessri,NA,associate,moresecure,math,mathstat
marla williams,university of nebraska,A Only,woman,white,noturm,highered,domesticr1,moreri,NA,grad,lesssecure,math,mathstat
